route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4515_88278,91,4515_17522,Abbey St Lower,5631,1,4515_7778195_6472001,4515_588
4515_88278,92,4515_17523,Abbey St Lower,12117,1,4515_7778195_6472003,4515_588
4515_88278,93,4515_17524,Abbey St Lower,18242,1,4515_7778195_6472002,4515_588
4515_88278,91,4515_17525,Abbey St Lower,4545,1,4515_7778195_6472008,4515_588
4515_88278,92,4515_17526,Abbey St Lower,12075,1,4515_7778195_6472001,4515_588
4515_88278,91,4515_17527,Abbey St Lower,4601,1,4515_7778195_6472004,4515_588
4515_88278,91,4515_17528,Abbey St Lower,5638,1,4515_7778195_6472006,4515_588
4515_88278,93,4515_17529,Abbey St Lower,18295,1,4515_7778195_6472005,4515_588
4515_88178,92,4515_1753,Mountjoy Square,13852,1,4515_7778195_1013011,4515_58
4515_88278,92,4515_17530,Abbey St Lower,12292,1,4515_7778195_6472004,4515_588
4515_88278,91,4515_17531,Abbey St Lower,4440,1,4515_7778195_6472010,4515_588
4515_88278,93,4515_17532,Abbey St Lower,18360,1,4515_7778195_6472001,4515_588
4515_88278,92,4515_17533,Abbey St Lower,12308,1,4515_7778195_6472009,4515_588
4515_88278,91,4515_17534,Abbey St Lower,4531,1,4515_7778195_6472005,4515_588
4515_88278,93,4515_17535,Abbey St Lower,18381,1,4515_7778195_6472008,4515_588
4515_88278,92,4515_17536,Abbey St Lower,12300,1,4515_7778195_6472008,4515_588
4515_88278,92,4515_17537,Abbey St Lower,12077,1,4515_7778195_6472001,4515_588
4515_88278,91,4515_17538,Abbey St Lower,5650,1,4515_7778195_6472009,4515_588
4515_88278,93,4515_17539,Abbey St Lower,18202,1,4515_7778195_6472004,4515_588
4515_88178,91,4515_1754,Mountjoy Square,7207,1,4515_7778195_1013006,4515_58
4515_88278,92,4515_17540,Abbey St Lower,12294,1,4515_7778195_6472004,4515_588
4515_88278,93,4515_17541,Abbey St Lower,18297,1,4515_7778195_6472005,4515_588
4515_88278,91,4515_17542,Abbey St Lower,5640,1,4515_7778195_6472006,4515_589
4515_88278,92,4515_17543,Abbey St Lower,12310,1,4515_7778195_6472009,4515_588
4515_88278,93,4515_17544,Abbey St Lower,18319,1,4515_7778195_6472009,4515_588
4515_88278,91,4515_17545,Abbey St Lower,4442,1,4515_7778195_6472010,4515_589
4515_88278,92,4515_17546,Abbey St Lower,12302,1,4515_7778195_6472008,4515_588
4515_88278,93,4515_17547,Abbey St Lower,18383,1,4515_7778195_6472008,4515_588
4515_88278,91,4515_17548,Abbey St Lower,4533,1,4515_7778195_6472005,4515_589
4515_88278,92,4515_17549,Abbey St Lower,12118,1,4515_7778195_6472011,4515_588
4515_88178,93,4515_1755,Mountjoy Square,19187,1,4515_7778195_1013001,4515_58
4515_88278,93,4515_17550,Abbey St Lower,18204,1,4515_7778195_6472004,4515_589
4515_88278,91,4515_17551,Abbey St Lower,5652,1,4515_7778195_6472009,4515_588
4515_88278,92,4515_17552,Abbey St Lower,12079,1,4515_7778195_6472001,4515_588
4515_88278,93,4515_17553,Abbey St Lower,18371,1,4515_7778195_6472011,4515_589
4515_88278,91,4515_17554,Abbey St Lower,5642,1,4515_7778195_6472006,4515_588
4515_88278,93,4515_17555,Abbey St Lower,18299,1,4515_7778195_6472005,4515_588
4515_88278,92,4515_17556,Abbey St Lower,12296,1,4515_7778195_6472004,4515_589
4515_88278,91,4515_17557,Abbey St Lower,4444,1,4515_7778195_6472010,4515_588
4515_88278,93,4515_17558,Abbey St Lower,18321,1,4515_7778195_6472009,4515_588
4515_88278,92,4515_17559,Abbey St Lower,12312,1,4515_7778195_6472009,4515_589
4515_88178,92,4515_1756,Mountjoy Square,13803,1,4515_7778195_1013002,4515_59
4515_88278,91,4515_17560,Abbey St Lower,4535,1,4515_7778195_6472005,4515_588
4515_88278,93,4515_17561,Abbey St Lower,18385,1,4515_7778195_6472008,4515_588
4515_88278,92,4515_17562,Abbey St Lower,12187,1,4515_7778195_6472002,4515_589
4515_88278,91,4515_17563,Abbey St Lower,5654,1,4515_7778195_6472009,4515_588
4515_88278,92,4515_17564,Abbey St Lower,12120,1,4515_7778195_6472011,4515_588
4515_88278,93,4515_17565,Abbey St Lower,18376,1,4515_7778195_6472013,4515_589
4515_88278,92,4515_17566,Abbey St Lower,12221,1,4515_7778195_6472014,4515_588
4515_88278,93,4515_17567,Abbey St Lower,18206,1,4515_7778195_6472004,4515_589
4515_88278,91,4515_17568,Abbey St Lower,4471,1,4515_7778195_6472012,4515_588
4515_88278,93,4515_17569,Abbey St Lower,18373,1,4515_7778195_6472011,4515_588
4515_88178,91,4515_1757,Mountjoy Square,7296,1,4515_7778195_1013002,4515_58
4515_88278,92,4515_17570,Abbey St Lower,12081,1,4515_7778195_6472001,4515_588
4515_88278,91,4515_17571,Abbey St Lower,5644,1,4515_7778195_6472006,4515_588
4515_88278,93,4515_17572,Abbey St Lower,18301,1,4515_7778195_6472005,4515_588
4515_88278,92,4515_17573,Abbey St Lower,12114,1,4515_7778195_6472006,4515_588
4515_88278,93,4515_17574,Abbey St Lower,18379,1,4515_7778195_6472012,4515_588
4515_88278,92,4515_17575,Abbey St Lower,12095,1,4515_7778195_6472010,4515_588
4515_88278,91,4515_17576,Abbey St Lower,4446,1,4515_7778195_6472013,4515_588
4515_88278,93,4515_17577,Abbey St Lower,18323,1,4515_7778195_6472009,4515_588
4515_88278,92,4515_17578,Abbey St Lower,12298,1,4515_7778195_6472004,4515_588
4515_88278,91,4515_17579,Abbey St Lower,4537,1,4515_7778195_6472005,4515_589
4515_88178,92,4515_1758,Mountjoy Square,13842,1,4515_7778195_1013009,4515_58
4515_88278,93,4515_17580,Abbey St Lower,18363,1,4515_7778195_6472014,4515_588
4515_88278,92,4515_17581,Abbey St Lower,12087,1,4515_7778195_6472012,4515_588
4515_88278,93,4515_17582,Abbey St Lower,18387,1,4515_7778195_6472008,4515_588
4515_88278,91,4515_17583,Abbey St Lower,5656,1,4515_7778195_6472009,4515_588
4515_88278,92,4515_17584,Abbey St Lower,12189,1,4515_7778195_6472002,4515_589
4515_88278,92,4515_17585,Abbey St Lower,12122,1,4515_7778195_6472011,4515_588
4515_88278,93,4515_17586,Abbey St Lower,18208,1,4515_7778195_6472004,4515_589
4515_88278,91,4515_17587,Abbey St Lower,4473,1,4515_7778195_6472012,4515_588
